MaarjAM accession number,GenBank accession number,Fungal class,Fungal order,Fungal family,Fungal genus,Fungal species,VTX,Source,Source specify,Host subclass,Host superorder,Host order,Host family,Host genus,Host species,Ecosystem,Biome,Habitat,Climatic zone,Biogeo realm,Soil pH,C content,P content,N content,Altitude (m),Average annual precipitation (mm),Continent,Country,State,Location,Coordinates,Culture code,Forward primer,Reverse primer,Marker region,Sequencing method,Sequencing chemistry,Journal,Year,Title,Authors
ESA02294,AB047308,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,callosa,VTX00242,cultured spores,W4771/Att321-10,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,culture,,culture,temperate,Palearctic,,,,,,,Asia,Japan,Iwate Prefecture,"Morioko, Tohoku National Agricultural Experiment Station",0deg0.00' 0deg0.00',W4771/Att321-10,EcoNS1,NS8KX,18S rDNA,Sanger,,Mycological Research,2007,"Molecular phylogeny and new taxa in the Archaeosporales (Glomeromycota): Ambispora fennica gen.sp.nov., Ambisporaceae fam. nov., and emendation of Archaeospora and Archaeosporaceae","Walker, C.; Vestberg, M.; Demircik, F.; Stockinger, H.; Saito, M.; Sawaki, H.; Nishmura, I.; Schussler, A."
ESA02534,AB193047,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,leptoticha,VTX00242,cultured spores,MAFF520055,unspecified subclass,,,,,,grassland,Temperate seminatural grassland,semi-natural grassland,temperate,Palearctic,,,,,,,Asia,Japan,Tochigi Prefecture,"National Grassland Research Institute, Mt Fujinitayama experimental farm",36deg55.00'N 139deg58.00'E,MAFF520055,AMV4.5NF,AMDGR,18S rDNA,Sanger,,Grassland Science,2005,A new primer for discrimination of arbuscular mycorrhizal fungi with polymerase chain reaction-denature gradient gel electrophoresis,"Sato, S.; Suyama, Y.; Saito, M.; Sugawara, K."
ESA00202,AB220172,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,sp.,VTX00242,other,trap culture WL1,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,anthropogenic,Anthropogenic ecosystem,abandoned quarry,subtropical,Palearctic,3.4,1.9 g kg-1 (total C),7.6 mg kg-1 (Truog-P),0.3 g kg-1 (total N),150-200,1600,Asia,Japan,Aichi prefecture,Hazu-cho,34deg47.00'N 137deg7.00'E,,NS1,NS4,18S rDNA,Sanger,,Plant and Soil ,2008,Plant symbiotic microorganisms in acid sulfate soil: significance in the growth of pioneer plants,"Maki, T.; Nomachi, M.; Yoshida, S.; Ezawa, T."
ESA00439,AB365834,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,Yamato09 E,VTX00051,plant roots,,Magnoliidae,Rosanae,Brassicales,Moringaceae,Moringa,oleifera,grassland,Tropical grasslands & savannas,savannah,tropical,Afrotropic,6.5-7.7,,12-1328 mg kg-1 (Truog-P),,1164,975-1474,Africa,Uganda,,Tororo,0deg41.16'N 34deg6.36'E,,NS31,AM1,18S rDNA,Sanger,,Mycoscience,2009,"Community of arbuscular mycorrhizal fungi in drought-resistant plants, Moringa spp., in semiarid regions in Madagascar and Uganda","Yamato, M.; Ikeda, S.; Iwase, K."
MOA25808,AB695047,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Pyrus,pyrifolia var. culta,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6.18,44.9 g/kg (total C),383.2 mg/kg (available P),3.64 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Fukube,35deg32.23'N 134deg15.24'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of arbuscular mycorrhizal fungi in the roots of Pyrus pyrifolia var. culta (Japanese pear) in orchards with variable amounts of soil-available phosphorus,"Yoshimura, Y.; Ido, A.; Iwase, K.; Matsumoto, T.; Yamato, M."
MOA25678,AB746987,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,Yoshimura13b Arch1,,plant roots,,Magnoliidae,Asteranae,Lamiales,Plantaginaceae,Plantago,asiatica,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6,73.4 g/kg (total C),542.9 mg/kg (available P),5.55 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Nakayama,35deg30.41'N 133deg33.53'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of Arbuscular Mycorrhizal Fungi in Pyrus pyrifolia var. culta (Japanese pear) and an Understory Herbaceous Plant Plantago asiatica,"Yoshimura, Y.; Ido, A.; Matsumoto, T.; Yamato, M."
MOA25679,AB746988,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,Yoshimura13b Arch1,,plant roots,,Magnoliidae,Asteranae,Lamiales,Plantaginaceae,Plantago,asiatica,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6,73.4 g/kg (total C),542.9 mg/kg (available P),5.55 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Nakayama,35deg30.41'N 133deg33.53'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of Arbuscular Mycorrhizal Fungi in Pyrus pyrifolia var. culta (Japanese pear) and an Understory Herbaceous Plant Plantago asiatica,"Yoshimura, Y.; Ido, A.; Matsumoto, T.; Yamato, M."
MOA25680,AB746989,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,Yoshimura13b Arch1,,plant roots,,Magnoliidae,Asteranae,Lamiales,Plantaginaceae,Plantago,asiatica,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6,73.4 g/kg (total C),542.9 mg/kg (available P),5.55 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Nakayama,35deg30.41'N 133deg33.53'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of Arbuscular Mycorrhizal Fungi in Pyrus pyrifolia var. culta (Japanese pear) and an Understory Herbaceous Plant Plantago asiatica,"Yoshimura, Y.; Ido, A.; Matsumoto, T.; Yamato, M."
MOA25681,AB746990,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,Yoshimura13b Arch2,,plant roots,,Magnoliidae,Asteranae,Lamiales,Plantaginaceae,Plantago,asiatica,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6,49 g/kg (total C),987.3 mg/kg (available P),4.29 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Yura,35deg28.30'N 133deg44.30'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of Arbuscular Mycorrhizal Fungi in Pyrus pyrifolia var. culta (Japanese pear) and an Understory Herbaceous Plant Plantago asiatica,"Yoshimura, Y.; Ido, A.; Matsumoto, T.; Yamato, M."
MOA25682,AB746991,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,Yoshimura13b Arch2,,plant roots,,Magnoliidae,Asteranae,Lamiales,Plantaginaceae,Plantago,asiatica,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6,49 g/kg (total C),987.3 mg/kg (available P),4.29 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Yura,35deg28.30'N 133deg44.30'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of Arbuscular Mycorrhizal Fungi in Pyrus pyrifolia var. culta (Japanese pear) and an Understory Herbaceous Plant Plantago asiatica,"Yoshimura, Y.; Ido, A.; Matsumoto, T.; Yamato, M."
MOA25683,AB746992,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,Yoshimura13b Arch2,,plant roots,,Magnoliidae,Asteranae,Lamiales,Plantaginaceae,Plantago,asiatica,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6,49 g/kg (total C),987.3 mg/kg (available P),4.29 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Yura,35deg28.30'N 133deg44.30'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of Arbuscular Mycorrhizal Fungi in Pyrus pyrifolia var. culta (Japanese pear) and an Understory Herbaceous Plant Plantago asiatica,"Yoshimura, Y.; Ido, A.; Matsumoto, T.; Yamato, M."
ESA00956,AF131054,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,Other1,VTX00005,plant roots,,Magnoliidae,Lilianae,Asparagales,Asparagaceae,Hyacinthoides,non-scripta,forest,Temperate broadleaf & mixed forest,temperate broad-leaved forest,temperate,Palearctic,,,,,50,,Europe,United Kingdom,England,Pretty Wood,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Molecular Ecology,1999,Molecular diversity of arbuscular mycorrhizal fungi colonising Hyacinthoides non-scripta (bluebell) in a seminatural woodland,"Helgason, T.; Fitter, A.H.; Young, J.P.W."
ESA00965,AF131055,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,Other1,VTX00007,plant roots,,Magnoliidae,Lilianae,Asparagales,Asparagaceae,Hyacinthoides,non-scripta,forest,Temperate broadleaf & mixed forest,temperate broad-leaved forest,temperate,Palearctic,,,,,50,,Europe,United Kingdom,England,Pretty Wood,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Molecular Ecology,1999,Molecular diversity of arbuscular mycorrhizal fungi colonising Hyacinthoides non-scripta (bluebell) in a seminatural woodland,"Helgason, T.; Fitter, A.H.; Young, J.P.W."
ESA01352,AF452632,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,PODO7.1,,plant roots,mycorrhizal root nodule of podocarp plants,Pinidae,,,Podocarpaceae,Dacrycarpus,dacrydioides,forest,Temperate broadleaf & mixed forest,rainforest,temperate,Australasia,3.8-4.4,high (organic matter),low (acid-extractable P),medium,,3400,Oceania,New Zealand,South Island,Poerua,42deg42.00'S 171deg30.00'E,,see notes,see notes,18S rDNA,Sanger,,New Phytologist,2002,The root nodules of the Podocarpaceae harbour arbuscular mycorrhizal fungi,"Russell, A.J.; Bidartondo, M.I; Butterfield, B.G."
ESA01353,AF452633,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,PODO7.2,,plant roots,mycorrhizal root nodule of podocarp plants,Pinidae,,,Podocarpaceae,Dacrycarpus,dacrydioides,forest,Temperate broadleaf & mixed forest,rainforest,temperate,Australasia,3.8-4.4,high (organic matter),low (acid-extractable P),medium,,3400,Oceania,New Zealand,South Island,Poerua,42deg42.00'S 171deg30.00'E,,see notes,see notes,18S rDNA,Sanger,,New Phytologist,2002,The root nodules of the Podocarpaceae harbour arbuscular mycorrhizal fungi,"Russell, A.J.; Bidartondo, M.I; Butterfield, B.G."
ESA01355,AF452635,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,PODO18.1,,plant roots,mycorrhizal root nodule of podocarp plants,Pinidae,,,Podocarpaceae,Prumnopitys,taxifolia,forest,Temperate broadleaf & mixed forest,lowland montane forest,temperate,Australasia,,,,,,,Oceania,New Zealand,South Island,,0deg0.00' 0deg0.00',,see notes,see notes,18S rDNA,Sanger,,New Phytologist,2002,The root nodules of the Podocarpaceae harbour arbuscular mycorrhizal fungi,"Russell, A.J.; Bidartondo, M.I; Butterfield, B.G."
ESA02069,AF485861,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,sp.,VTX00283,cultured spores,isolate UY1184.10,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,culture,,culture,,,,,,,,,,,,,0deg0.00' 0deg0.00',,NS31,AM1,18S rDNA,Sanger,,Journal of Ecology,2002,Selectivity and functional diversity in arbuscular mycorrhizas of co-occurring fungi and plants from a temperate deciduous woodland,"Helgason, T.; Merryweather, J.W.; Denison, J.; Wilson, P.; Young, J.P.W.; Fitter, A.H."
ESA02305,AJ006466,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,leptoticha,VTX00242,cultured spores,NC176,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,anthropogenic,Anthropogenic ecosystem,field,subtropical,Nearctic,4.1-5.5,,< 10 (µg/g),,,,North America,USA,North Carolina,"near Durham, Antonovic's field",35deg58.00'N 78deg54.00'W,NC176,see notes,see notes,18S rDNA,Sanger,,Molecular Phylogenetics and Evolution,2000,Ancestral lineages of arbuscular mycorrhizal fungi (Glomales),"Redecker, D.; Morton, J.B.; Bruns, T.D."
ESA02264,AJ006793,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,leptoticha,VTX00242,cultured spores,FL130,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,culture,,turf experiment,subtropical,Nearctic,,,,,,,North America,USA,Florida,,0deg0.00' 0deg0.00',FL130,see notes,see notes,18S rDNA,Sanger,,Molecular Phylogenetics and Evolution,2000,Ancestral lineages of arbuscular mycorrhizal fungi (Glomales),"Redecker, D.; Morton, J.B.; Bruns, T.D."
ESA02258,AJ006794,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,leptoticha,VTX00242,cultured spores,NC176,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,anthropogenic,Anthropogenic ecosystem,field,subtropical,Nearctic,4.1-5.5,,< 10 (µg/g),,,,North America,USA,North Carolina,"near Durham, Antonovic's field",35deg58.00'N 78deg54.00'W,NC176,see notes,see notes,18S rDNA,Sanger,,Molecular Phylogenetics and Evolution,2000,Ancestral lineages of arbuscular mycorrhizal fungi (Glomales),"Redecker, D.; Morton, J.B.; Bruns, T.D."
ESA02259,AJ006795,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,leptoticha,,cultured spores,NC176,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,anthropogenic,Anthropogenic ecosystem,field,subtropical,Nearctic,4.1-5.5,,< 10 (µg/g),,,,North America,USA,North Carolina,"near Durham, Antonovic's field",35deg58.00'N 78deg54.00'W,NC176,see notes,see notes,18S rDNA,Sanger,,Molecular Phylogenetics and Evolution,2000,Ancestral lineages of arbuscular mycorrhizal fungi (Glomales),"Redecker, D.; Morton, J.B.; Bruns, T.D."
ESA02260,AJ006796,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,leptoticha,VTX00242,cultured spores,NC176,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,anthropogenic,Anthropogenic ecosystem,field,subtropical,Nearctic,4.1-5.5,,< 10 (µg/g),,,,North America,USA,North Carolina,"near Durham, Antonovic's field",35deg58.00'N 78deg54.00'W,NC176,see notes,see notes,18S rDNA,Sanger,,Molecular Phylogenetics and Evolution,2000,Ancestral lineages of arbuscular mycorrhizal fungi (Glomales),"Redecker, D.; Morton, J.B.; Bruns, T.D."
ESA02261,AJ006797,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,leptoticha,,cultured spores,NC176,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,anthropogenic,Anthropogenic ecosystem,field,subtropical,Nearctic,4.1-5.5,,< 10 (µg/g),,,,North America,USA,North Carolina,"near Durham, Antonovic's field",35deg58.00'N 78deg54.00'W,NC176,see notes,see notes,18S rDNA,Sanger,,Molecular Phylogenetics and Evolution,2000,Ancestral lineages of arbuscular mycorrhizal fungi (Glomales),"Redecker, D.; Morton, J.B.; Bruns, T.D."
ESA02268,AJ006800,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,trappei,VTX00245,cultured spores,NB112,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,culture,,culture,subtropical,Afrotropic,,,,,,,Africa,Namibia,,,0deg0.00' 0deg0.00',NB112,see notes,see notes,18S rDNA,Sanger,,Molecular Phylogenetics and Evolution,2000,Ancestral lineages of arbuscular mycorrhizal fungi (Glomales),"Redecker, D.; Morton, J.B.; Bruns, T.D."
ESA02270,AJ006801,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,trappei,VTX00245,cultured spores,AU219,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,culture,,culture,subtropical,Australasia,,,,,,,Oceania,Australia,,,0deg0.00' 0deg0.00',AU219,see notes,see notes,18S rDNA,Sanger,,Molecular Phylogenetics and Evolution,2000,Ancestral lineages of arbuscular mycorrhizal fungi (Glomales),"Redecker, D.; Morton, J.B.; Bruns, T.D."
ESA02266,AJ012202,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,leptoticha,,cultured spores,AU215,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,forest,Subtropical dry broadleaf forest,Eucalyptus woodland,subtropical,Australasia,,,,,,,Oceania,Australia,Tasmania,Kakadu National Park,0deg0.00' 0deg0.00',AU215,see notes,see notes,18S rDNA,Sanger,,Molecular Phylogenetics and Evolution,2000,Ancestral lineages of arbuscular mycorrhizal fungi (Glomales),"Redecker, D.; Morton, J.B.; Bruns, T.D."
ESA02134,AJ132665,Archaeosporomycetes,Archaeosporales,Geosiphonaceae,Geosiphon,pyriformis,,cultured spores,culture GEO1,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,culture,,culture,,,,,,,,,,,,,0deg0.00' 0deg0.00',,NS1,see notes,18S rDNA,Sanger,,Mycological Research,2001,Analysis of partial Glomales SSU rRNA gene sequences: implications for primer design and phylogeny,"Schussler, A.; Gehrig, H.; Schwarzott, D.; Walker, C."
ESA02137,AJ276074,Archaeosporomycetes,Archaeosporales,Geosiphonaceae,Geosiphon,pyriformis,VTX00241,cultured spores,culture GEO1,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,culture,,culture,temperate,Palearctic,,,,,,,Europe,Germany,,,0deg0.00' 0deg0.00',GEO1,GeoNS1,see notes,18S rDNA,Sanger,,Mycological Research,2001,Analysis of partial Glomales SSU rRNA gene sequences: implications for primer design and phylogeny,"Schussler, A.; Gehrig, H.; Schwarzott, D.; Walker, C."
ESA02201,AJ301861,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,leptoticha,VTX00242,cultured spores,culture NC176,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,anthropogenic,Anthropogenic ecosystem,field,subtropical,Nearctic,4.1-5.5,,< 10 (µg/g),,,,North America,USA,North Carolina,,35deg58.00'N 78deg54.00'W,NC176,see notes,see notes,18S rDNA,Sanger,,Molecular Phylogenetics and Evolution,2001,"Glomus, the largest genus of the arbuscular mycorrhizal fungi (Glomales), is nonmonophyletic","Schwarzott, D.; Walker, C.; Schussler, A."
ESA01890,AJ563887,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,Wirsel OTU21,VTX00004,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Phragmites,australis,successional,Other wetlands,wetland,temperate,Palearctic,,,,,395,,Europe,Germany,Baden-WŸrttemberg,Mainau,47deg42.22'N 9deg10.46'E,,NS31,AM1,18S rDNA,Sanger,,FEMS Microbiology Ecology,2004,Homogenous stands of a wetland grass harbour diverse consortia of arbuscular mycorrhizal fungi,"Wirsel, S.G.R."
ESA00911,AJ854097,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00006,plant roots,,Magnoliidae,Asteranae,Lamiales,Lamiaceae,Ajuga,reptans,forest,Temperate broadleaf & mixed forest,broad-leaved forest,temperate,Palearctic,,,,,50,,Europe,United Kingdom,England,Pretty Wood,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Journal of Ecology,2007,Specificity and resilience in the arbuscular mycorrhizal fungi of a natural woodland community,"Helgason, T.; Merryweather, J.W.; Young, J.P.W.; Fitter, A.H."
ESA00912,AJ854098,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,sp.,VTX00009,plant roots,,Magnoliidae,Asteranae,Lamiales,Lamiaceae,Ajuga,reptans,forest,Temperate broadleaf & mixed forest,broad-leaved forest,temperate,Palearctic,,,,,50,,Europe,United Kingdom,England,Pretty Wood,54deg7.12'N 0deg54.47'W,,NS31,AM1,18S rDNA,Sanger,,Journal of Ecology,2007,Specificity and resilience in the arbuscular mycorrhizal fungi of a natural woodland community,"Helgason, T.; Merryweather, J.W.; Young, J.P.W.; Fitter, A.H."
