MaarjAM accession number	GenBank accession number	Fungal class	Fungal order	Fungal family	Fungal genus	Fungal species	VTX	Source	Source specify	Host subclass	Host superorder	Host order	Host family	Host genus	Host species	Ecosystem	Biome	Habitat	Climatic zone	Biogeo realm	Soil pH	C content	P content	N content	Altitude (m)	Average annual precipitation (mm)	Continent	Country	State	Location	Coordinates	Culture code	Forward primer	Reverse primer	Marker region	Sequencing method	Sequencing chemistry	Journal	Year	Title	Authors
MOA25684	AB746993	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	sp.		plant roots		Magnoliidae	Asteranae	Lamiales	Plantaginaceae	Plantago	asiatica	anthropogenic	Anthropogenic ecosystem	pear orchard	subtropical	Palearctic	6	49 g/kg (total C)	987.3 mg/kg (available P)	4.29 g/kg (total N)			Asia	Japan	Tottori Prefecture	Yura	35deg28.30'N 133deg44.30'E		AML1	AML2	18S rDNA	Sanger		Microbes and Environments	2013	Communities of Arbuscular Mycorrhizal Fungi in Pyrus pyrifolia var. culta (Japanese pear) and an Understory Herbaceous Plant Plantago asiatica	Yoshimura, Y.; Ido, A.; Matsumoto, T.; Yamato, M.
MOA25685	AB746994	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	sp.		plant roots		Magnoliidae	Asteranae	Lamiales	Plantaginaceae	Plantago	asiatica	anthropogenic	Anthropogenic ecosystem	pear orchard	subtropical	Palearctic	6	49 g/kg (total C)	987.3 mg/kg (available P)	4.29 g/kg (total N)			Asia	Japan	Tottori Prefecture	Yura	35deg28.30'N 133deg44.30'E		AML1	AML2	18S rDNA	Sanger		Microbes and Environments	2013	Communities of Arbuscular Mycorrhizal Fungi in Pyrus pyrifolia var. culta (Japanese pear) and an Understory Herbaceous Plant Plantago asiatica	Yoshimura, Y.; Ido, A.; Matsumoto, T.; Yamato, M.
MOA05039	AF004675	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	occultum		cultured spores								anthropogenic	Anthropogenic ecosystem	arable land	temperate	Nearctic							North America	USA	Iowa	Rhodes Farm, Marshall County	42deg2.00'N 92deg56.00'W	IA702	ITS1Kpn	ITS4Pst	ITS	Sanger		Mycorrhiza	2001	Taxon-specific oligonucleotide primers for detection of Glomus etunicatum	Millner, P.D.; Mulbry, W.W.; Reynolds, S.L.
MOA05040	AF004676	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	occultum		cultured spores								anthropogenic	Anthropogenic ecosystem	arable land	temperate	Nearctic							North America	USA	Iowa	Rhodes farm	42deg2.00'N 92deg56.00'W	IA702	ITS1Kpn	ITS4Pst	ITS	Sanger		FEMS Microbiology Letters	2001	Taxon-specific oligonucleotide primers for detection of two ancient endomycorrhizal fungi, Glomus occultum and Glomus brasilianum	Millner, P.D.; Mulbry, W.W.; Reynolds, S.L.
MOA05041	AF004678	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	occultum		cultured spores								culture		culture	tropical	Neotropic							South America	Colombia	Cauca	Quilichao	3deg0.00'N 76deg28.00'W	CL700	ITS1Kpn	ITS4Pst	ITS	Sanger		FEMS Microbiology Letters	2001	Taxon-specific oligonucleotide primers for detection of two ancient endomycorrhizal fungi, Glomus occultum and Glomus brasilianum	Millner, P.D.; Mulbry, W.W.; Reynolds, S.L.
MOA05049	AF005062	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	occultum		cultured spores								culture		culture	subtropical	Nearctic							North America	USA	Florida		0deg0.00' 0deg0.00'	FL703	ITS1Kpn	ITS4Pst	ITS	Sanger		FEMS Microbiology Letters	2001	Taxon-specific oligonucleotide primers for detection of two ancient endomycorrhizal fungi, Glomus occultum and Glomus brasilianum	Millner, P.D.; Mulbry, W.W.; Reynolds, S.L.
MOA05050	AF005065	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	occultum		cultured spores								culture		culture	tropical	Neotropic							South America	Colombia			0deg0.00' 0deg0.00'	CL383	ITS1Kpn	ITS4Pst	ITS	Sanger		FEMS Microbiology Letters	2001	Taxon-specific oligonucleotide primers for detection of two ancient endomycorrhizal fungi, Glomus occultum and Glomus brasilianum	Millner, P.D.; Mulbry, W.W.; Reynolds, S.L.
MOA05051	AF005481	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	occultum		cultured spores								culture		culture	tropical	Neotropic							South America	Colombia			0deg0.00' 0deg0.00'	CL383	ITS1Kpn	ITS4Pst	ITS	Sanger		FEMS Microbiology Letters	2001	Taxon-specific oligonucleotide primers for detection of two ancient endomycorrhizal fungi, Glomus occultum and Glomus brasilianum	Millner, P.D.; Mulbry, W.W.; Reynolds, S.L.
MOA05052	AF165918	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	brasilianum		cultured spores								culture		culture													0deg0.00' 0deg0.00'	ITH43	ITS1Kpn	ITS4Pst	ITS	Sanger		FEMS Microbiology Letters	2001	Taxon-specific oligonucleotide primers for detection of two ancient endomycorrhizal fungi, Glomus occultum and Glomus brasilianum	Millner, P.D.; Mulbry, W.W.; Reynolds, S.L.
MOA05053	AF165920	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	brasilianum		cultured spores								anthropogenic	Anthropogenic ecosystem	disturbed mine site	subtropical	Nearctic							North America	USA	West Virginia	Mingo County	37deg45.00'N 82deg10.00'W	WV224	ITS1Kpn	ITS4Pst	ITS	Sanger		FEMS Microbiology Letters	2001	Taxon-specific oligonucleotide primers for detection of two ancient endomycorrhizal fungi, Glomus occultum and Glomus brasilianum	Millner, P.D.; Mulbry, W.W.; Reynolds, S.L.
MOA05054	AF165921	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	brasilianum		cultured spores								anthropogenic	Anthropogenic ecosystem	disturbed mine site	subtropical	Nearctic							North America	USA	West Virginia	Mingo County	37deg45.00'N 82deg10.00'W	WV224	ITS1Kpn	ITS4Pst	ITS	Sanger		FEMS Microbiology Letters	2001	Taxon-specific oligonucleotide primers for detection of two ancient endomycorrhizal fungi, Glomus occultum and Glomus brasilianum	Millner, P.D.; Mulbry, W.W.; Reynolds, S.L.
MOA05055	AF165922	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	brasilianum		cultured spores								anthropogenic	Anthropogenic ecosystem	disturbed mine site	subtropical	Nearctic							North America	USA	West Virginia	Mingo County	37deg45.00'N 82deg10.00'W	WV224	ITS1Kpn	ITS4Pst	ITS	Sanger		FEMS Microbiology Letters	2001	Taxon-specific oligonucleotide primers for detection of two ancient endomycorrhizal fungi, Glomus occultum and Glomus brasilianum	Millner, P.D.; Mulbry, W.W.; Reynolds, S.L.
ESA02057	AF202299	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	sp.	VTX00002	plant roots		Magnoliidae	Lilianae	Poales	Poaceae	Arrhenatherum	elatius	grassland	Temperate seminatural grassland	grassland	temperate	Palearctic							Europe	France	Pays de la Loire	Mortagne	46deg59.00'N 0deg57.00'W		AU2	AUPH1	18S rDNA	Sanger		Science	2002	Extensive fungal diversity in plant roots	Vandenkoornhuyse, P.; Baldauf, S.L.; Leyval, C; Straczek, J.; Young, J.P.W.
ESA02274	AJ006798	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	occultum	VTX00238	cultured spores	CL700	unspecified subclass			unspecified family	unspecified genus	unspecified species	culture		culture	tropical	Neotropic	4,3	7,1% (organic matter)	2 ppm				South America	Colombia	Cauca	Quilichao	3deg0.22'N 76deg28.29'W	CL700	see notes	see notes	18S rDNA	Sanger		Molecular Phylogenetics and Evolution	2000	Ancestral lineages of arbuscular mycorrhizal fungi (Glomales)	Redecker, D.; Morton, J.B.; Bruns, T.D.
ESA02272	AJ006799	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	occultum	VTX00238	cultured spores	HA771	unspecified subclass			unspecified family	unspecified genus	unspecified species	successional	Azonal & successional	sand dune	subtropical	Oceania							Oceania	Hawaii	Hawaii		0deg0.00' 0deg0.00'	HA771	see notes	see notes	18S rDNA	Sanger		Molecular Phylogenetics and Evolution	2000	Ancestral lineages of arbuscular mycorrhizal fungi (Glomales)	Redecker, D.; Morton, J.B.; Bruns, T.D.
ESA02276	AJ012112	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	brasilianum		cultured spores	WV219	unspecified subclass			unspecified family	unspecified genus	unspecified species	anthropogenic	Anthropogenic ecosystem	disturbed mine site	subtropical	Nearctic	6.3-7.0		< 10 (µg/g)				North America	USA	West Virginia	Mingo County	38deg30.00'N 80deg3.00'W	WV219	ITS1F	ITS4	ITS	Sanger		Molecular Phylogenetics and Evolution	2000	Ancestral lineages of arbuscular mycorrhizal fungi (Glomales)	Redecker, D.; Morton, J.B.; Bruns, T.D.
ESA02273	AJ012113	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	occultum		cultured spores	HA771	unspecified subclass			unspecified family	unspecified genus	unspecified species	successional	Azonal & successional	sand dune	subtropical	Oceania							Oceania	Hawaii	Hawaii		0deg0.00' 0deg0.00'	HA771	ITS1F	ITS4	ITS	Sanger		Molecular Phylogenetics and Evolution	2000	Ancestral lineages of arbuscular mycorrhizal fungi (Glomales)	Redecker, D.; Morton, J.B.; Bruns, T.D.
ESA02275	AJ012203	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	brasilianum		cultured spores	WV219	unspecified subclass			unspecified family	unspecified genus	unspecified species	anthropogenic	Anthropogenic ecosystem	disturbed mine site	subtropical	Nearctic	6.3-7.0		< 10 (µg/g)				North America	USA	West Virginia	Mingo County	38deg30.00'N 80deg3.00'W	WV219	see notes	see notes	18S rDNA	Sanger		Molecular Phylogenetics and Evolution	2000	Ancestral lineages of arbuscular mycorrhizal fungi (Glomales)	Redecker, D.; Morton, J.B.; Bruns, T.D.
MOA06141	AJ271713	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	occultum		cultured spores								culture		culture	tropical	Neotropic							South America	Colombia	Cauca	Quilichao	3deg0.00'N 76deg28.00'W	CL700C	see notes	FLR2	28S rDNA	Sanger		Mycorrhiza	2001	Identification of arbuscular mycorrhizal fungi in soils and roots of plants colonizing zinc wastes in southern Poland	Turnau, K.; Ryszka, P.; Gianinazzi-Pearson, V.; van Tuinen, D.
MOA06144	AJ271926	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Turnau01 HM-CL5		other	field spores							anthropogenic	Anthropogenic ecosystem	industrial waste	temperate	Palearctic	7,4	1.12 % (Organic matter content)	74mg/kg (P2O5 content)	0,00044			Europe	Poland	Lesser Poland Voivodeship	Chrzanow	50deg8.00'N 19deg24.00'E		see notes	FLR2	28S rDNA	Sanger		Mycorrhiza	2001	Identification of arbuscular mycorrhizal fungi in soils and roots of plants colonizing zinc wastes in southern Poland	Turnau, K.; Ryszka, P.; Gianinazzi-Pearson, V.; van Tuinen, D.
ESA02144	AJ276081	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	occultum	VTX00238	cultured spores	culture IA702-3/Att677-4/W3166	unspecified subclass			unspecified family	unspecified genus	unspecified species	anthropogenic	Anthropogenic ecosystem	arable land	temperate	Nearctic							North America	USA	Iowa	Rhodes Farm, Marshall County	42deg2.00'N 92deg56.00'W	IA702-3/Att677-4/W3166	NS1	see notes	18S rDNA	Sanger		Mycological Research	2001	Analysis of partial Glomales SSU rRNA gene sequences: implications for primer design and phylogeny	Schussler, A.; Gehrig, H.; Schwarzott, D.; Walker, C.
